,Equity,DrawdownPct,DrawdownDuration
2004-08-19,10000.0,0.0,
2004-08-20,10000.0,0.0,
2004-08-23,10000.0,0.0,
2004-08-24,10000.0,0.0,
2004-08-25,10000.0,0.0,
2004-08-26,10000.0,0.0,
2004-08-27,10000.0,0.0,
2004-08-30,10000.0,0.0,
2004-08-31,10000.0,0.0,
2004-09-01,10000.0,0.0,
2004-09-02,10000.0,0.0,
2004-09-03,10000.0,0.0,
2004-09-07,10000.0,0.0,
2004-09-08,10000.0,0.0,
2004-09-09,10000.0,0.0,
2004-09-10,10000.0,0.0,
2004-09-13,10000.0,0.0,
2004-09-14,10000.0,0.0,
2004-09-15,10000.0,0.0,
2004-09-16,10000.0,0.0,
2004-09-17,10000.0,0.0,
2004-09-20,10000.0,0.0,
2004-09-21,10000.0,0.0,
2004-09-22,10000.0,0.0,
2004-09-23,10000.0,0.0,
2004-09-24,10000.0,0.0,
2004-09-27,10000.0,0.0,
2004-09-28,10000.0,0.0,
2004-09-29,10000.0,0.0,
2004-09-30,10000.0,0.0,
2004-10-01,10000.0,0.0,
2004-10-04,10000.0,0.0,
2004-10-05,10000.0,0.0,
2004-10-06,10000.0,0.0,
2004-10-07,10000.0,0.0,
2004-10-08,10000.0,0.0,
2004-10-11,10000.0,0.0,
2004-10-12,10000.0,0.0,
2004-10-13,10000.0,0.0,
2004-10-14,10000.0,0.0,
2004-10-15,10000.0,0.0,
2004-10-18,10000.0,0.0,
2004-10-19,10000.0,0.0,
2004-10-20,10000.0,0.0,
2004-10-21,10000.0,0.0,
2004-10-22,10000.0,0.0,
2004-10-25,10000.0,0.0,
2004-10-26,10000.0,0.0,
2004-10-27,10000.0,0.0,
2004-10-28,10000.0,0.0,
2004-10-29,10000.0,0.0,
2004-11-01,10000.0,0.0,
2004-11-02,10000.0,0.0,
2004-11-03,10000.0,0.0,
2004-11-04,10000.0,0.0,
2004-11-05,10000.0,0.0,
2004-11-08,10000.0,0.0,
2004-11-09,10000.0,0.0,
2004-11-10,10000.0,0.0,
2004-11-11,10000.0,0.0,
2004-11-12,10000.0,0.0,
2004-11-15,10000.0,0.0,
2004-11-16,10000.0,0.0,
2004-11-17,9774.73564,0.022526435999999928,
2004-11-18,10067.375640000002,0.0,2 days
2004-11-19,9957.63564,0.010900556800918282,
2004-11-22,10211.335640000001,0.0,4 days
2004-11-23,10068.55564,0.013982499942583493,
2004-11-24,9641.395640000002,0.055814441919568414,
2004-11-26,9368.225640000002,0.0825660843717011,
2004-11-29,9270.28564,0.09215738598520895,
2004-11-30,9215.415640000001,0.09753082604578844,
2004-12-01,9334.595640000001,0.0858594831185081,
2004-12-02,9367.63564,0.08262386329708393,
2004-12-03,9308.63564,0.08840175583534149,
2004-12-06,9196.11878,0.09942057491707323,
2004-12-07,8943.398780000001,0.12416954105721667,
2004-12-08,8867.99878,0.13155349186034604,
2004-12-09,9047.398780000001,0.11398478132876255,
2004-12-10,8954.838780000002,0.12304921748708664,
2004-12-13,8892.43878,0.12916007332415924,
2004-12-14,9320.918780000002,0.08719886324292825,
2004-12-15,9377.598780000002,0.08164816919092077,
2004-12-16,9205.478780000001,0.0985039465415124,
2004-12-17,9393.198780000002,0.08012045523165257,
2004-12-20,9301.52678,0.0890979292107571,
2004-12-21,9366.29678,0.08275497836833423,
2004-12-22,9236.24678,0.09549082454800217,
2004-12-23,9162.081680000003,0.10275384112239383,
2004-12-27,9354.561680000003,0.0839042011941935,
2004-12-28,9395.361680000002,0.07990864160841538,
2004-12-29,9402.081680000003,0.07925054944134591,
2004-12-30,9627.681680000003,0.057157455261160894,
2004-12-31,9396.801680000002,0.07976762185832909,
2005-01-03,9872.961680000004,0.033137091163129906,
2005-01-04,9478.881680000002,0.07172949610341073,
2005-01-05,9431.361680000002,0.07638314785625822,
2005-01-06,9193.281680000004,0.09969841320385753,
2005-01-07,9447.681680000003,0.07478492402194681,
2005-01-10,9505.761680000003,0.06909712743513319,
2005-01-11,9432.801680000002,0.07624212810617192,
2005-01-12,9521.121680000004,0.06759291676754609,
2005-01-13,9518.721680000004,0.06782794968435657,
2005-01-14,9741.441680000004,0.04601689500434414,
2005-01-18,9930.081680000003,0.02754330774304059,
2005-01-19,9613.281680000004,0.05856765276202369,
2005-01-20,9451.041680000002,0.07445587793841224,
2005-01-21,9180.321680000003,0.10096759095463426,
2005-01-24,8817.441680000004,0.13650456797637855,
2005-01-25,8644.641680000004,0.15342693798673301,
2005-01-26,8234.861840000005,0.19355683425562098,
2005-01-27,8290.541840000005,0.18810407058561784,
2005-01-28,8182.061840000005,0.19872755842545153,
2005-01-31,7928.621840000005,0.22354703444063817,
2005-02-01,8107.181840000005,0.20606058542993855,
2005-02-02,7432.301840000005,0.2721518416370453,
2005-02-03,7197.101840000005,0.29518506748447215,
2005-02-04,7509.101840000005,0.2646307882991099,
2005-02-07,7908.941840000005,0.22547430435848415,
2005-02-08,7895.5508000000045,0.22678569402111992,
