,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_SMA(C,10)","Exit_SMA(C,10)","Entry_SMA(C,20)","Exit_SMA(C,20)"
0,-59,63,75,169.02,179.13,,,-596.4899999999991,-0.05981540646077388,2004-11-17,2004-12-06,19 days,,175.809,176.58499999999998,180.079,175.3415
1,52,75,85,179.13,182.0,,,149.24000000000024,0.016021883548261062,2004-12-06,2004-12-20,14 days,,176.58499999999998,175.698,175.3415,176.1415
2,-51,85,88,182.0,187.45,,,-277.9499999999994,-0.02994505494505484,2004-12-20,2004-12-23,3 days,,175.698,180.009,176.1415,178.67000000000002
3,48,88,110,187.45,179.27,,,-392.63999999999896,-0.043638303547612556,2004-12-23,2005-01-26,34 days,,180.009,192.116,178.67000000000002,193.3085
4,-48,110,119,179.27,196.96,,,-849.1199999999999,-0.0986779717744184,2005-01-26,2005-02-08,13 days,,192.116,197.103,193.3085,194.8245
5,39,119,129,196.96,193.3,,,-142.73999999999987,-0.018582453290008072,2005-02-08,2005-02-23,15 days,,197.103,193.476,194.8245,195.2895
6,-39,129,157,193.3,187.73,,,217.23000000000084,0.02881531298499751,2005-02-23,2005-04-05,41 days,,193.476,181.26799999999997,195.2895,180.321
7,41,157,242,187.73,295.55,,,4420.620000000001,0.5743354818089812,2005-04-05,2005-08-04,121 days,,181.26799999999997,295.836,180.321,298.802
8,-41,242,265,295.55,285.89,,,396.060000000001,0.03268482490272384,2005-08-04,2005-09-07,34 days,,295.836,286.714,298.802,284.746
9,43,265,293,285.89,297.5,,,499.2300000000006,0.040610024834726755,2005-09-07,2005-10-17,40 days,,286.714,306.375,284.746,309.4635
10,-43,293,300,297.5,346.28,,,-2097.539999999999,-0.1639663865546217,2005-10-17,2005-10-26,9 days,,306.375,320.466,309.4635,315.72950000000003
11,31,300,333,346.28,412.5,,,2052.8200000000006,0.19123252858958084,2005-10-26,2005-12-13,48 days,,320.466,410.12600000000003,315.72950000000003,410.01000000000005
12,-31,333,334,412.5,417.04,,,-140.74000000000063,-0.011006060606060686,2005-12-13,2005-12-14,1 days,,410.12600000000003,411.53100000000006,410.01000000000005,411.31800000000004
13,30,334,336,417.04,425.34,,,248.99999999999864,0.019902167657778413,2005-12-14,2005-12-16,2 days,,411.53100000000006,413.622,411.31800000000004,413.87300000000005
14,-30,336,338,425.34,427.86,,,-75.60000000000116,-0.0059246720270842435,2005-12-16,2005-12-20,4 days,,413.622,418.017,413.87300000000005,416.1115
15,29,338,363,427.86,435.0,,,207.0599999999996,0.01668770158463051,2005-12-20,2006-01-27,38 days,,418.017,438.547,416.1115,444.48850000000004
16,-29,363,387,435.0,384.3,,,1470.2999999999997,0.11655172413793102,2006-01-27,2006-03-03,35 days,,438.547,372.873,444.48850000000004,367.581
17,37,387,394,384.3,337.14,,,-1744.920000000001,-0.12271662763466051,2006-03-03,2006-03-14,11 days,,372.873,357.45799999999997,367.581,361.802
18,-37,394,406,337.14,389.19,,,-1925.8500000000004,-0.15438690158391166,2006-03-14,2006-03-30,16 days,,357.45799999999997,360.61199999999997,361.802,356.136
19,27,406,432,389.19,395.11,,,159.84000000000043,0.015211079421362461,2006-03-30,2006-05-08,39 days,,360.61199999999997,406.28000000000003,356.136,410.70550000000003
20,-27,432,454,395.11,387.75,,,198.72000000000037,0.01862772392498291,2006-05-08,2006-06-08,31 days,,406.28000000000003,381.44,410.70550000000003,378.31600000000003
21,27,454,484,387.75,386.14,,,-43.47000000000037,-0.0041521598968408124,2006-06-08,2006-07-21,43 days,,381.44,405.95099999999996,378.31600000000003,410.12299999999993
